"Director","Frecuencia"
"Anthony Mandler",1
"Anthony Maras",1
"Anthony Minghella",4
"Anthony Russo|Joe Russo",6
"Anthony Scott Burns",2
"Anthony Silverston",1
"Anthony Stacchi|Graham Annable",1
"Anthony Wonke",1
"Antoine Blossier",1
"Antoine Fuqua",13
"Antoinette Beumer",1
"Anton Corbijn",1
"Anton Sigur�sson",1
"Anton Zenkovich",1
"Antonia Bird",1
"Antonia Johnstone",1
"Antonin Baudry",1
"Antonio Campos",1
"Antonio Manetti|Marco Manetti",1
"Antonio Negret",1
"Antonio Serrano",1
"Antonio Zavala Kugler",1
"Antony Hoffman",1
"Antti Jokinen",1
"Anurag Basu",1
"Anvita Dutt",1
"Anya Taylor-Joy|Scott Frank|Bruce Pandolfini|Allan Scott|Thomas Brodie-Sangster|Sabine Schaaf|Uli Hanisch|Alexander Lambriev|Gabriele Binder|Daniel Parker|Steven Meizler|Marcin Dorocinski|Moses Ingram|Bill Camp|Isla Johnston|Annabeth Kelly|Marielle Heller|Eloise Webb",1
"Apichatpong Weerasethakul",1
"April Mullen",3
"Ara Paiaya",2
"Aram van de Rest|Appie Boudellah",1
"Archie Lopez",3
"Ari Aster",2
"Ari Folman",1
"Ari Sandel",3
"Ariel Mart�nez Herrera",1
"Ariel Vromen",2
"Ariel Winograd",3
"Aristomenis Tsirbas",1
"Arlene Sanford",1
"Armand Mastroianni",2
"Armando Iannucci",2
"Armond Cohen",1
"Arnaud Desplechin",1
"Aron Gaudet|Gita Pullapilly",1
"Arseny Syukhin",1
"Arthur Benzaquen",1
"Arthur Harari",1
"Arthur Hiller",1
"Arthur Penn",1
"Arthur Vinciprova",1
"Arturo Castro Godoy",1
"Asako Hyuga",1
"Asger Leth",1
"Asghar Farhadi",3
"Ash Avildsen",1
"Ash Baron-Cohen",1
"Ash Brannon",1
"Ash Brannon|Chris Buck",1
"Ashley Avis",1
"Asia Argento",1
"Asif Kapadia",3
"Ask Hasselbalch",1
"Assaf Bernstein",1
"Ataru Oikawa",1
"Atip Ketubol|Phakhawat Phakanan",1
"Atom Egoyan",3
"Atsuji Shimizu",3
"Atsuko Ishizuka",1
"Atsushi Kaneshige",1
"Atsushi Takahashi",2
"Atsuya Uki",2
"Audrey Wells",1
"Audu Paden",1
"Augustine Frizzell",1
"Austin Brooks",1
"Austin Chick",1
"Austin Stark",1
"Autumn de Wilde",1
"Ava DuVernay",1
"Avgousta Zourelidi",1
"Axel Uriegas",2
"Axelle Carolyn",1
"Axelle Laffont",1
"Ayako Kono",1
"Ayse �nal|Mehmet Kurtulus",1
"Ayumu Watanabe",2
"Ayush Banker|Justin LaReau",1
"Azazel Jacobs",1
"B. J. McDonnell",1
"Babak Anvari",1
"Babak Najafi",2
"Bae Jong",1
"Baltasar Korm�kur",5
"Banjong Pisanthanakun",1
"Banjong Pisanthanakun|Parkpoom Wongpoom",1
"Baran bo Odar",2
"Barbara Bialowas|Tomasz Mandes",1
"Barbara Kopple",1
"Barbet Schroeder",3
"Barnaby Thompson|Oliver Parker",2
"Barry Battles",1
"Barry Cook|Neil Nightingale",1
"Barry Jenkins",1
"Barry Levinson",9
"Barry Sonnenfeld",8
"Barry W. Blaustein",1
"Bart Freundlich",2
"Bart Layton",1
"Bartlett Sher",1
"Bartosz M. Kowalski",2
"Basil Joseph",1
"Baz Luhrmann",4
"Becca Gleason",1
"Beeban Kidron",1
"Ben Affleck",4
"Ben Demaree",1
"Ben Falcone",5
"Ben Foster|Mark Dennis",1
"Ben Garant",2
"Ben Gluck",1
"Ben Gluck|Anthony Bell",1
"Ben Howling|Yolanda Ramke",1
"Ben Jones",1
"Ben Ketai",2
"Ben Lewin",2
"Ben Palmer",1
"Ben Ramsey",1
"Ben Rock",1
"Ben Schwartz",1
"Ben Sharpsteen",1
"Ben Sharpsteen|Hamilton Luske",1
"Ben Shelton",1
"Ben Simms",1
"Ben Smallbone",1
"Ben Smith",1
"Ben Sombogaart",1
"Ben Stassen",1
"Ben Stassen|Jeremy Degruson",1
"Ben Stassen|J�r�mie Degruson",2
"Ben Stassen|Vincent Kesteloot",3
"Ben Stiller",5
"Ben Wheatley",2
"Ben Winston",1
"Ben Young",1
"Ben Younger",2
"BenDavid Grabinski",1
"Benedek Fliegauf",1
"Benedict Andrews",1
"Benh Zeitlin",1
"Benjamin Brewer|Alex Brewer",1
"Benjamin Cleary",1
"Benjamin Renner|Patrick Imbert",1
"Benjamin Statler",1
"Bennett Miller",1
"Benny Boom",2
"Benny Chan",6
"Benny Fine",1
"Benson Lee",1
"Bernard Campan|Alexandre Jollien",1
"Bernard Rose",1
"Bernardo Bertolucci",4
"Bernhard Wicki|Ken Annakin|Andrew Marton",1
"Bert|Bertie",1
"Bertrand Blier",1
"Bertrand Bonello",2
"Bertrand Tavernier",2
"Bethany Ashton Wolf",1
"Bette Gordon",1
"Betty Thomas",5
"Beyonc�|Ed Burke",1
"Beyonc�|Mark Romanek|Jonas �kerlund|Kahlil Joseph|Melina Matsoukas|Todd Tourso|Dikayl Rimmasch",1
"Bharat Nalluri",3
"Bibo Bergeron",1
"Bibo Bergeron|Don Paul",1
"Bigas Luna",2
"Bill Bannerman",1
"Bill Condon",8
"Bill Duke",1
"Bill Forsyth",1
"Bill Holderman",1
"Bill Kopp",2
"Bill Kroyer",1
"Bill Murray|Howard Franklin",1
"Bill Paxton",2
"Bill Purple",1
"Bille August",6
"Bille Woodruff",7
"Billy Bob Thornton",1
"Billy Crystal",1
"Billy Ray",2
"Billy Wilder",8
"Bj�rn Runge",1
"Blair Hayes",1
"Blair Peters",1
"Blair Simmons",1
"Blake Edwards",8
"Blake Harris",1
"Bo Burnham",2
"Bo Welch",1
"Bo Widerberg",1
"Bo Zenga",1
"Boaz Yakin",5
"Bob Balaban",1
"Bob Bowen",1
"Bob Clark",1
"Bob Gale",1
"Bob Gosse",1
"Bob Hathcock",1
"Bob Misiorowski",1
"Bob Odenkirk",1
"Bob Rafelson",1
"Bobby Boermans",1
"Bobby Farrelly|Peter Farrelly",10
"Bobby Miller",1
"Bobby Roth",1
"Bobcat Goldthwait",1
"Bong Joon-ho",6
"Boots Riley",1
"Bora Dagtekin",1
"Boris Aljinovic|Harald Siepermann",1
"Boris Lojkine",1
"Boris Quercia",1
"Brad Anderson",8
"Brad Bird",6
"Brad Dourif|Devon Sawa|Jennifer Tilly|Fiona Dourif|Don Mancini|Alex Vincent|Christine Elise|Lexa Doig|Alyvia Alyn Lind|Zackary Arthur|Bjorgvin Arnarson|Teo Briones",1
"Brad Furman",4
"Brad J. Silverman",1
"Brad Peyton",5
"Brad Silberling",5
"Brad Turner",2
"Brad Turner|Kevin Hooks",1
"Braden R. Duemmler",1
"Bradley Cooper",1
"Bradley Fowler|Wesley Alley",1
"Bradley Parker",1
"Bradley Raymond",5
"Bradley Raymond|Jun Falkenstein|Toby Shelton|Bill Speers|Alex Mann",1
"Bradley Raymond|Tom Ellery",1
"Bradley Walsh",2
"Brady Corbet",1
"Branden Kramer",1
"Brandon Camp",2
"Brandon Christensen",1
"Brandon Cronenberg",1
"Brandon Trost",1
"Brandon Vietti",4
"Brannon Braga",1
"Brea Grant",1
"Breck Eisner",3
"Brenda Chapman",1
"Brenda Chapman|Mark Andrews",1
"Brendan Maher",1
"Brendan Muldowney",1
"Brendan Walsh",1
"Brenden Mertens",1
"Breno Silveira",1
"Brent Bonacorso",1
"Brent Dawes",1
"Brent Maddock",1
"Brent McCorkle",1
"Brent Ryan Green",1
"Brenton Spencer",1
"Bret Haaland",1
"Brett Donowho",1
"Brett Haley",2
"Brett Leonard",4
"Brett Morgen",1
"Brett Ratner",6
"Brett Simmons",2
"Brett Sullivan",1
"Brett Sullivan|Steven Hoban|Grant Harvey",1
"Brian A. Metcalf",1
"Brian A. Miller",5
"Brian Andrew Mendoza",1
"Brian Baugh",2
"Brian Crano",1
"Brian Dannelly",1
"Brian De Palma",14
"Brian DeCubellis",2
"Brian Duffield",1
"Brian Fee",1
"Brian G. Hutton",2
"Brian Gibson",1
"Brian Goodman",1
"Brian Hanson",1
"Brian Helgeland",4
"Brian Henson",1
"Brian Herzlinger",2
"Brian Kirk",1
"Brian Klugman|Lee Sternthal",1
"Brian Koppelman|David Levien",2
"Brian Kwan|Bradford Burah",1
"Brian Levant",7
"Brian Nowak",1
"Brian O'Malley",1
"Brian Percival",1
"Brian Pimental",1
"Brian Robbins",5
"Brian Rosenthal",1
"Brian Skiba",1
"Brian Smith",1
"Brian Smrz",2
"Brian T. Jaynes",1
"Brian Taylor",1
"Brian Taylor|Mark Neveldine",4
"Brian Trenchard-Smith",1
"Brian Ward",1
"Britt Allcroft",1
"Brittany Andrews",1
"Brock Lesnar|Ettore Ewen|Colby Lopez|Kevin Steen|Franklin Lashley|Paul Heyman|Hassan Hamin Assad|Adam Copeland|Mike Mizanin|Maryse Mizanin|Elizabeth Copeland|Jonathan Fatu Jr.|Joshua Fatu|Austin Watson|Kofi Sarkodie-Mensah|Rebecca Quin|Gionna Daddio|Andrew McLean Galloway IV|Michael Rallis|Thomas Pestock|Randy Orton|Matthew Frederick Riddle|Kenneth Crawford|Gary Gordon|Claudio Castagnoli|Trevor Mann|Stephen Farrelly|Luke Menzies",1
"Broni Likomanov",1
"Bruce A. Evans",1
"Bruce Beresford",3
"Bruce Hunt",1
"Bruce Leddy",1
"Bruce Lee",1
"Bruce Macdonald",1
"Bruce McDonald",2
"Bruce Robinson",1
"Bruce Timm|Eric Radomski",1
"Bruno Barreto",1
"Bruno Chauffard|Glenn McCoy",1
"Bruno Corbucci",1
"Bruno Dumont",1
"Bruno Garotti",3
"Bruno Hern�ndez",1
"Bruno Mattei",1
"Bryan Bertino",3
"Bryan Buckley",1
"Bryan Fogel",1
"Bryan Singer",7
"Bryan Spicer",1
"Bryce Wagoner",2
"Buddy Van Horn",1
"Burny Mattinson",1
"Burny Mattinson|Tony Craig|Roberts Gannaway",1
"Burr Steers",3
"Buster Keaton|Clyde Bruckman",1
"Butch Lukic",2
"Byron Haskin",1
"Byron Howard|Jared Bush",1
"Byron Howard|Nathan Greno",2
"Byron Howard|Rich Moore",1
"Byun Sung-hyun",1
"C. Jay Cox",1
"C. Thomas Howell",1
"Caitlin Koller",1
"Cal Brunker",3
"Callie Khouri",1
"Cameron Crowe",7
"Camilla Belle|Joe Sill|Jess Varley|Chris von Hoffmann|Maritte Lee Go",1
"Camille Delamarre",2
"Camille Griffin",1
"Camille Stochitch",1
"Can Ulkay",2
"Caradog W. James",1
"Carl Bessai",1
"Carl Franklin",2
"Carl Rinsch",1
"Carl Schultz",1
"Carles Torras",1
"Carles Torrens",1
"Carlo Carlei",1
"Carlo Mirabella-Davis",1
"Carlos Bolado",1
"Carlos Brooks",1
"Carlos Carrera",2
"Carlos Cuar�n",1
"Carlos Guti�rrez Medrano",1
"Carlos L�pez Estrada",1
"Carlos Moreno",2
"Carlos P�rez Osorio",1
"Carlos Saldanha",5
"Carlos Sanchez|Jason Sanchez",1
"Carlos Santos",1
"Carlos Ther�n",1
"Carmine Amoroso",1
"Carol Reed",1
"Carolina Mar�a Garc�a Fern�ndez",1
"Caroline Suh",1
"Caroline Thompson",1
"Caroline Vigneaux",1
"Carroll Ballard",2
"Carter Smith",1
"Cary Joji Fukunaga",4
"Cary Murnion|Jonathan Milott",3
"Cary Solomon|Chuck Konzelman",1
"Casey La Scala",1
"Casey Tebo",1
"Cassi Simonds",1
"Cassie Jaye",1
"Castille Landon",3
"Catalina Aguilar Mastretta|Santiago Lim�n",1
"Cate Shortland",2
"Catherine Breillat",2
"Catherine Corsini",1
"Catherine Cyran",2
"Catherine Devaney",1
"Catherine Hardwicke",6
"Cathy Garcia-Molina",1
