"Director","Frecuencia"
"Irwin Winkler",1
"Isaac Feder",1
"Isaac Florentine",8
"Isaac Gabaeff",1
"Isabel Coixet",2
"Isabel Coixet|Christopher Doyle|Tom Tykwer|Joel Coen|Ethan Coen|Richard LaGravenese|Wes Craven|Gus Van Sant|Vincenzo Natali|Gurinder Chadha|Walter Salles|Alfonso Cuar�n|Alexander Payne|G�rard Depardieu|Sylvain Chomet|Bruno Podalyd�s|Fr�d�ric Auburtin|Olivier Assayas|Nobuhiro Suwa|Oliver Schmitz|Daniela Thomas",1
"Isao Takahata",4
"Ishi Rudell",4
"Ishiro Honda",5
"Issa L�pez",1
"Issei Shibata",1
"Italo Zingarelli",1
"Ivan Boutazakht",1
"Ivan Kavanagh",2
"Ivan Reitman",9
"Ivan Silvestrini",2
"Ivan Vyrypaev",1
"Izu Ojukwu",1
"J Blakeson",3
"J. A. Bayona",4
"J. Joaquin Marcos",1
"J. Lee Thompson",6
"J.B. Rogers",2
"J.C. Chandor",3
"J.D. Dillard",1
"J.G. Quintel",1
"J.J. Abrams",6
"J.S. Cardone",2
"J.T. Petty",1
"J.W. McHausen",1
"Jabbar Raisani",1
"Jacinth Tan Yi Ting",1
"Jack Arnold",2
"Jack Bender",1
"Jack C. Newell",1
"Jack Clayton",1
"Jack Gold",1
"Jack Perez",1
"Jack Peter Mundy",1
"Jack Sholder",1
"Jack Smight",1
"Jackie Chan",8
"Jackie Chan|Charlie Chen Chi-Hwa",1
"Jackie Chan|Eric Tsang",1
"Jackie Earle Haley",1
"Jacky St. James",1
"Jaco Bouwer",1
"Jaco Van Dormael",1
"Jacob Aaron Estes",1
"Jacob Chase",1
"Jacob Johnston",1
"Jacob Leighton Burns",1
"Jacob Vaughan",1
"Jacques Audiard",1
"Jacques Demy",1
"Jacques Kluger",1
"Jacques Tati",2
"Jacques Tourneur",1
"Jaime Osorio M�rquez",1
"Jaime Segura",1
"Jaime Velez Soto",1
"Jake Castorena",2
"Jake Goldberger",1
"Jake Kasdan",6
"Jake Schreier",1
"Jake Szymanski",2
"Jake West",1
"Jakov Sedlar|Dominik Sedlar",1
"Jakub Piatek",1
"Jalil Lespert",1
"Jalmari Helander",2
"James A. Contner",1
"James Algar|Clyde Geronimi|Jack Kinney",1
"James Algar|Don Hahn|Ga�tan Brizzi|Paul Brizzi|Eric Goldberg|Hendel Butoy|Francis Glebas|Pixote Hunt",1
"James Ashcroft",1
"James B. Merryman",1
"James Bobin",4
"James Brolin",1
"James Cameron",7
"James Cook",1
"James Cotten",1
"James Cox",1
"James Cullen Bressack",2
"James D.R. Hickox",1
"James DeMonaco",3
"James Dodson",1
"James Fargo",1
"James Foley",3
"James Franco",3
"James Franco|Bruce Thierry Cheung",1
"James Gray",2
"James Gunn",5
"James Isaac",2
"James Ivory",3
"James Kent",1
"James Komack",1
"James Kondelik",1
"James Krisel|Colin Krisel",1
"James L. Brooks",2
"James M. Perry",1
"James Mangold",10
"James Marsh",2
"James McTeigue",5
"James Moran",1
"James Nunn",4
"James Oakley",1
"James Ponsoldt",2
"James Reed|Philippa Ehrlich",1
"James Rewucki",1
"James T. Walker",1
"James Thomas",3
"James Tovell",1
"James Tucker",1
"James Wan",11
"James Ward Byrkit",2
"James Watkins",3
"James Whale",2
"James Wong",4
"Jameson Brooks",1
"Jamie Babbit",1
"Jamie Blanks",2
"Jamie Luk Kim-Ming",1
"Jamie Magnus Stone",1
"Jamie Mitchell",1
"Jamie Mitchell|Burt Gillett|Jack Hannah|Jack King|Tony Craig|Roberts Gannaway|Rick Schneider|Mike Moon",1
"Jamie Mitchell|Charles Grosvenor",1
"Jamie Mitchell|Ed Wexler|Gary Katona",1
"Jamie Patterson",1
"Jamie Uys",2
"Jan de Bont",5
"Jan Jakub Kolski",1
"Jan Komasa",1
"Jan Ole Gerster",1
"Jane Campion",3
"Jang Cheol-soo",1
"Jang Hang-jun",1
"Jang Hoon",1
"Jang Jae-hyun",1
"Jang Joon-hwan",2
"Janicza Bravo",1
"Jarand Herdal",1
"Jared Cohn",3
"Jared Hess",3
"Jared Stern",1
"Jasmila �banic",1
"Jason Aron",1
"Jason Axinn",1
"Jason Bateman",1
"Jason Bourque",1
"Jason Cabell",1
"Jason Eisener",1
"Jason Friedberg|Aaron Seltzer",5
"Jason Hall",1
"Jason Hehir",1
"Jason Hewitt",1
"Jason Hreno",1
"Jason Lei Howden",1
"Jason Momoa",1
"Jason Moore",2
"Jason Murphy",1
"Jason Reitman",8
"Jason Stone",1
"Jason Winer",1
"Jason Woliner",1
"Jason Zada",1
"Jaume Balaguer�",4
"Jaume Balaguer�|Paco Plaza",2
"Jaume Collet-Serra",9
"Javier Ambrossi|Javier Calvo",1
"Javier Colinas",2
"Javier Fesser",2
"Javier Rebollo Fern�ndez",1
"Jay Baruchel",1
"Jay Bulger",1
"Jay Chandrasekhar",5
"Jay Chou",1
"Jay Karas",2
"Jay Lee",1
"Jay Lowi",1
"Jay Oliva",9
"Jay Oliva|Ethan Spaulding",1
"Jay Roach",8
"Jay Russell",3
"Jayan Moodley",1
"Jayme Monjardim",1
"Jayro Bustamante",1
"Jayson Thiessen",2
"Jayson Thiessen|Ishi Rudell",1
"Jean-Baptiste Andrea|Fabrice Canepa",1
"Jean-Baptiste L�onetti",1
"Jean-Claude Van Damme",1
"Jean-Fran�ois Richet",4
"Jean-Jacques Annaud",6
"Jean-Jacques Beineix",1
"Jean-Julien Chervier",1
"Jean-Marc Barr|Pascal Arnold",1
"Jean-Marc Vall�e",4
"Jean-Paul Rappeneau",1
"Jean-Paul Salom�",1
"Jean-Pierre Jeunet",4
"Jean-Pierre Jeunet|Marc Caro",1
"Jean-Pierre Melville",1
"Jean-St�phane Sauvaire",1
"Jean de Segonzac",1
"Jean Delannoy",1
"Jean Gabriel Guerra",1
"Jean Girault",2
"Jean Negulesco",1
"Jeanie Finlay",1
"Jeannot Szwarc",2
"Jed Mercurio",1
"Jeff Baena",3
"Jeff Balis",1
"Jeff Barnaby",1
"Jeff Beesley",1
"Jeff Betancourt",1
"Jeff Buhler",1
"Jeff Chan",2
"Jeff Fowler",1
"Jeff Kanew",1
"Jeff King",3
"Jeff Lew",1
"Jeff Mednikow",1
"Jeff Nichols",3
"Jeff Orlowski",2
"Jeff Renfroe",1
"Jeff Rosenberg",1
"Jeff Schaffer",1
"Jeff Tomsic",1
"Jeff Tremaine",9
"Jeff Wadlow",5
"Jeff Wamester",1
"Jeff Zimbalist|Michael Zimbalist",1
"Jeffrey A. Brown",1
"Jeffrey Blitz",1
"Jeffrey G. Hunt",2
"Jeffrey Grellman",1
"Jeffrey Hornaday",3
"Jeffrey Lau",1
"Jeffrey Lerner",1
"Jeffrey Nachmanoff",2
"Jehane Noujaim|Karim Amer",1
"Jen McGowan",1
"Jen Soska|Sylvia Soska",3
"Jennifer Chambers Lynch",2
"Jennifer Flackett|Mark Levin",1
"Jennifer Fox",1
"Jennifer Kaytin Robinson",1
"Jennifer Kent",2
"Jennifer West",1
"Jennifer Westcott",1
"Jennifer Yuh Nelson",2
"Jennifer Yuh Nelson|Alessandro Carloni",1
"Jenny Gage",1
"Jenny Goldberg|Jake Wyatt",1
"Jenny Popplewell",1
"Jeong Do-soo",1
"Jeong Jeong-hwa",1
"Jeremiah Jones",1
"Jeremiah S. Chechik",1
"Jeremy David White",1
"Jeremy Gardner|Christian Stella",1
"Jeremy Garelick",1
"Jeremy Gillespie|Steven Kostanski",1
"Jeremy Kenyon Lockyer Corbell",1
"Jeremy Lalonde",1
"Jeremy Lutter",1
"Jeremy M. Inman",1
"Jeremy Rush",1
"Jeremy Saulnier",2
"Jeremy Ungar",1
"Jerren Lauder",1
"Jerry Dugan",1
"Jerry Paris",2
"Jerry Rees",1
"Jerry Zucker",3
"Jerry Zucker|Jim Abrahams|David Zucker",3
"Jesper Ganslandt",1
"Jesse Baget",1
"Jesse Dylan",3
"Jesse Haaja",1
"Jesse Peretz",2
"Jesse V. Johnson",8
"Jessica Bendinger",1
"Jessica Nilsson",1
"Jessica Sharzer",1
"Jessie Nelson",2
"Jessy Terrero",2
"Jeymes Samuel",1
"Jiang Ping|Gangliang Fang",1
"Jill Culton",1
"Jill Culton|Roger Allers",1
"Jim Capobianco",1
"Jim Carroll",1
"Jim Cummings",1
"Jim Donovan",1
"Jim Drake",1
"Jim Fall",1
"Jim Field Smith",1
"Jim Gillespie",4
"Jim Henson",1
"Jim Jarmusch",4
"Jim Kammerud",2
"Jim Kammerud|Brian Smith",1
"Jim Mickle",1
"Jim O'Hanlon",1
"Jim Sharman",1
"Jim Sheridan",6
"Jim Sonzero",1
"Jim Stenstrum",3
"Jim Stenstrum|Hiroshi Aoyama|Kazumi Fukushima",1
"Jim Weedon",1
"Jim Wheat|Ken Wheat",1
"Jim Wilson",1
"Jim Wynorski",1
"Jimmy Hayward",2
"Jimmy Hayward|Steve Martino",1
"Jimmy Henderson",1
"Jingle Ma Choh-Sing",1
"Jir� Vejdelek",1
"JK Youn",2
"J�lia de Paz Solvas",1
"Jo Ba-reun",2
"Jo Geun-Sik",1
"Jo Kyeong-hoon-I",1
"Jo Sung-hee",2
"Joachim Hed�n",1
"Joachim R�nning",1
"Joachim R�nning|Espen Sandberg",3
"Joachim Trier",2
"Joan Chen",1
"Joan Weber",1
"Joanna Hogg",1
"Joanna Lombardi|Bruno Ascenzo",1
"Joaquim Dos Santos",1
"Joaqu�n Llamas",1
"Joby Harold",1
"Jocelyn Moorhouse",1
"Jodie Foster",2
"Joe Begos",1
"Joe Berlinger",2
"Joe Carnahan",6
"Joe Charbanic",1
"Joe Cornish",2
"Joe D'Amato",2
"Joe Dante",9
"Joe Johnston",6
"Joe Johnston|Lasse Hallstr�m",1
"Joe Johnston|Pixote Hunt",1
"Joe Ksander|Kevin R. Adams",1
"Joe Lynch",4
"Joe Miale",1
"Joe Nimziki",1
"Joe Nussbaum",4
"Joe Penna",2
"Joe Pytka",1
"Joe Roth",1
"Joe Sichta",3
"Joe Swanberg|Matt Bettinelli-Olpin|Glenn McQuaid|Ti West|Adam Wingard|David Bruckner|Tyler Gillett|Justin Martinez|Chad Villella",1
"Joe Talbot",1
"Joe Wright",9
"Joel Antonio Col�n",1
"Joel Coen",10
"Joel Coen|Ethan Coen",7
"Joel Crawford",2
"Joel Edgerton",2
"Joel Gallen",2
"Joel Hopkins",1
"Joel Novoa",1
"Joel Schumacher",14
"Joel Soisson",1
"Joel Zwick",2
"Joey Soloway",1
"Joey Stewart",1
"Johannes Roberts",5
"John A. Davis",2
"John Andreas Andersen",1
"John Asher",1
"John Badham",3
"John Baumgartner",1
"John Berardo",1
"John Blanchard",1
"John Bonito",2
"John Boorman",5
"John Burgess",1
"John Butler",1
"John Cameron Mitchell",2
"John Carchietta",1
"John Carl Buechler",1
"John Carney",3
"John Carpenter",10
"John Cassavetes",1
"John Crowley",3
"John Curran",1
"John Dahl",2
"John Dunson|Sean Dunson",1
"John Erick Dowdle",5
"John Fawcett",1
"John Flynn",1
"John Ford",2
"John Fortenberry",1
"John Francis Daley|Jonathan M. Goldstein",2
"John Frankenheimer",2
"John G. Avildsen",5
"John Gatins",1
"John Glen",4
"John Gray",1
"John Grusd",1
"John Guillermin",4
"John Gulager",4
"John H. Lee",2
"John H. Williams",1
"John Hamburg",3
"John Herzfeld",2
"John Hillcoat",4
"John Huddles",1
"John Hughes",6
"John Huston",6
"John Huston|Robert Parrish|Val Guest|Joseph McGrath|Ken Hughes|Richard Talmadge",1
"John Hyams",4
"John Irvin",2
"John Kafka",1
"John Kafka|Yoon-suk Choi",1
"John Kent Harrison",1
"John Korty",1
"John Krasinski",2
"John Krokidas",1
"John Lafia",1
"John Laing",1
"John Landis",8
"John Lasseter",6
"John Lasseter|Victor Navone|Rob Gibbs",2
"John Lee",1
"John Lee Hancock",6
"John Lloyd Taylor",1
"John Luessenhop",2
"John Luessenhop|Jodi Scurfield",1
"John Lyde",1
"John Madden",4
"John Maggio",2
"John Maybury",1
"John McIntyre|Henrique Jardim",1
"John McNaughton",2
"John McPhail",1
"John McTiernan",8
"John Milius",2
"John Miller",1
"John Moore",6
"John Murlowski",1
"John N. Smith",1
"John Nicolella",1
"John Ottman",1
"John Pasquin",2
"John Patrick Shanley",1
"John Pogue",2
"John Poliquin",1
"John Polson",1
"John Puglisi",1
"John Putch",3
"John Quinn",1
"John R. Leonetti",6
"John Ridley",1
"John Robert Hoffman",1
"John Sanford|Elaine Bogan",1
"John Schlesinger",1
"John Schultz",6
"John Simpson",1
"John Singleton",5
"John Stalberg Jr.",2
"John Stephenson",1
"John Stevenson",1
"John Stockwell",8
"John Sturges",4
"John Suits",2
"John Swab",2
"John Turturro",3
"John V. Soto",1
"John Waters",2
"John Wells",2
"John Whitesell",6
"John Woo",12
"John Wynn|Akhtem Seitablaiev",1
"Johnnie To",2
"Johnny Martin",2
"Johnny Tabor",1
"Joko Anwar",1
"Jomac Noph",1
"Jon Amiel",5
"Jon Avnet",2
"Jon Cassar",2
"Jon Clay",1
"Jon Erwin|Andrew Erwin",5
"Jon Favreau",8
"Jon Garc�a",1
"Jon Gunn",2
"Jon Harris",1
"Jon Hewitt",1
"Jon Hurwitz|Hayden Schlossberg",2
"Jon Jones",1
"Jon Keeyes",2
"Jon Knautz|Trevor Matthews",1
"Jon Kondelik|James Kondelik",1
"Jon Lucas|Scott Moore",4
"Jon M. Chu",6
"Jon Mefford",2
"Jon S. Baird",2
"Jon Schnepp",1
"Jon Stewart",1
"Jon Turteltaub",7
"Jon Watts",4
"Jon Wright",1
"Jonah Hill",1
"Jonah Loop",1
"Jonah Markowitz",1
"Jonas Barnes|Michael Manasseri",1
"Jonas Elmer",1
"Jonas �kerlund",3
"Jonas McCord",1
"Jonathan Baker",1
"Jonathan Baker|Josh Baker",1
"Jonathan Dayton|Valerie Faris",3
"Jonathan Demme",4
"Jonathan English",2
"Jonathan Frakes",5
"Jonathan Geva",1
"Jonathan Glazer",2
"Jonathan Helpert",1
"Jonathan Hensleigh",3
"Jonathan Hopkins",1
"Jonathan Jakubowicz",2
"Jonathan Judge",2
"Jonathan Kaplan",2
"Jonathan Kasdan",1
"Jonathan King",1
"Jonathan Levine",6
"Jonathan Liebesman",5
"Jonathan Lynn",5
"Jonathan M. Shiff",1
"Jonathan Mostow",3
"Jonathan Newman",2
"Jonathan Silverman|Jennifer Finnigan",1
"Jonathan Sobol",1
"Jonathan Teplitzky",2
"Jonathan Tzachor|Akihiro Noguchi",1
"Jonathan Wright",1
"Jonathan Zarantonello",1
"Joo Sung Woo",1
"Joram L�rsen",1
"Jordan Downey",1
"Jordan Galland",1
"Jordan Graham",1
"Jordan Peele",2
"Jordan Rubin",1
"Jordan Scott",1
"Jordan Vogt-Roberts",2
"Jordana Spiro",1
"Jorge Acebo Canedo",1
"Jorge Bechara",1
"Jorge Blanco",1
"Jorge Dorado",1
"Jorge Fernando",1
"Jorge Hazoury",1
"Jorge Navas",1
"Jorge Olgu�n",1
"Jorge Pareja",1
"Jorge R. Gutierrez",1
"Jorge Ram�rez Su�rez",1
"Jorge Ulloa",1
"Jorma Taccone",1
"Jos� Iv�n Santiago",1
"Jos� Juli�n Gaviria|Yedinson Fl�rez",1
"Jos� Luis Ucha|Mark Fattibene|Robert Cullen",1
"Jos� Manuel Carrasco",1
"Jos� Mario Salas Barboza",1
"Jos� Padilha",4
"Jos� Pozo",1
"Jos� Ram�n Ch�vez Delgado",1
"Jose Magan",1
"Josef Rusnak",1
"Joseph Barbera|William Hanna",2
"Joseph Brutsman",1
"Joseph Cedar",1
"Joseph Gordon-Levitt",1
"Joseph Hemsani Levy",1
"Joseph J. Lawson",1
"Joseph Kahn",2
"Joseph Kosinski",3
"Joseph L. Mankiewicz",2
"Joseph Romano Thomas",1
"Joseph Ruben",5
"Joseph Sargent",1
"Joseph Vilsmaier",1
"Joseph Zito",1
"Josh Berger",1
"Josh Boone",3
"Josh Cooley",2
"Josh Duhamel",1
"Josh Enck",1
"Josh Gordon|Will Speck",3
"Josh Greenbaum",1
"Josh Janowicz",1
"Josh Koury|Myles Kane",1
"Josh Lawson",1
"Josh Oreck",6
"Josh Ruben",1
"Josh Ruben|Jack Clough",1
"Josh Safdie|Benny Safdie",2
"Josh Stolberg",1
"Josh Trank",2
"Joshua Caldwell",2
"Joshua Marston",2
"Joshua Michael Stern",1
"Josie Rourke",1
"Joss Whedon",3
"Jota Linares",1
"J�rg Ihle",1
"J�rgen Br�ning|Kristian Petersen|Todd Verow|Maria Beatty|Bruce LaBruce|Courtney Trouble|Manuela Kay|�milie Jouvet",1
"J�rgen Lerdam|Philip Einstein Lipski|Amalie N�sby Fick",1
"J�r�me Cohen-Olivar",1
"J�r�mie Guez",1
"Juan Camilo Pinz�n",1
"Juan Carlos Fresnadillo",2
"Juan Carlos Medina",1
"Juan Cavestany",1
"Juan Diego Solanas",1
"Juan Jos� Campanella",3
"Juan Pablo Buscarini",2
"Juan Sasia�n|Ezequiel Tronconi",1
"Juana Mac�as",1
"Judd Apatow",6
"Jude Ho|Alex Harding",1
"Jude Weng",1
"Juergen Peretzki|Stacey Peretzki",1
"Juho Kuosmanen",1
"Jukka Vidgren|Juuso Laatio",1
"Jules Bass|Arthur Rankin, Jr.",2
"Julia Ducournau",2
"Julia Hart",3
"Julia Leigh",1
"Julian Gaviria",1
"Julian Gilbey",1
"Julian Jarrold",2
"Julian Schnabel",1
"Julie Anne Robinson",1
"Julie Delpy",1
"Julie Taymor",3
"Julien Leclercq",3
"Julio Medem",3
"Julio Quintana",1
"Julio Soto Gurpide",1
"Julius Avery",2
"Julius Berg",1
"Julius Onah",1
"Julius R. Nasso",1
"Julius Ramsay",1
"Jumpei Mizusaki",1
"Jun'ichi Yamamoto",1
"Jun Falkenstein|Stephen Donnelly|Olly Reid",1
"Jung-Il kim|Se-Won Kim",1
"Jung Bum-shik",1
"Jung Byung-gil",1
"Jung Ji-woo",1
"Junichi Sato",1
"Junichi Sato|Tomotaka Shibayama",1
"Junji Shimizu",2
"Juno John Lee",1
"Junsei",1
"Just Jaeckin",2
"Justin Baldoni",2
"Justin Barber",1
"Justin Chadwick",3
"Justin Chon",1
"Justin Copeland",1
"Justin Dec",1
"Justin G. Dyck",3
"Justin G. Dyck|Marco Deufemia",1
"Justin Kelly",1
"Justin Kurzel",3
"Justin Lee",1
"Justin Lin",6
"Justin Long|Christian Long",1
"Justin P. Lange",2
"Justin Reardon",1
"Justin Tipping",1
"Justin Zackham",1
"Justine Triet",1
"Juuso Syrj�",1
"Kaare Andrews",3
"Kai Li",1
"Kaku Arakawa",1
"Kallan Kagan|Eric Fogel",1
"Kamir A�nouz",1
"Kang Hoon",1
"Kang Hyo-jin",1
"Kang Hyung-chul",1
"Kang Je-gyu",2
"Kang Yun-sung",1
"Kanji Wakabayashi",1
"Kanta Kamei",1
"Karan Johar",3
"Karen Disher",1
"Karen D�s Hafli�ad�ttir",1
"Karen J. Lloyd",2
"Karen Lam",1
"Karen Maine",1
"Karen Moncrieff",4
"Karey Kirkpatrick",1
"Karey Kirkpatrick|Tim Johnson",1
"Kari Skogland",1
"Karin Engman|Klas Persson",1
"Karl Geurs",1
"Karl Holt",1
"Karsten Kiilerich",1
"Karthik Subbaraj",1
"Karyn Kusama",4
"Karzan Kader",1
"Kasi Lemmons",1
"Kasia Adamik|Anna Jadowska|Anna Kazejak|Jagoda Szelc|Olga Chajdas",1
"Kasper Barfoed",1
"Katarina Launing",1
"Katherine Brooks",1
"Katherine Dieckmann",1
"Kathi Castillo",1
"Kathrine Windfeld",1
"Kathryn Bigelow",4
"Katina Medina Mora",1
"Katja von Garnier",2
"Katsuhiro Otomo",2
"Katsuhiro Otomo|Yoshiaki Kawajiri|Rintaro",1
"Katsushi Sakurabi",1
"Katsuyuki Motohiro",1
"Katsuyuki Motohiro|Naoyoshi Shiotani",1
"Katt Shea",1
"Kay Cannon",2
"Kazuaki Imai",1
"Kazuaki Kiriya",1
"Kazuchika Kise",1
"Kazuchika Kise|Atsushi Takeuchi",1
"Kazuchika Kise|Kazuya Nomura",1
"Kazuchika Kise|Masahiko Murata",1
"Kazuchika Kise|Susumu Kudou",1
"Kazuhiro Takamura",1
"Kazuhisa Takenouchi",2
"Kazuki Akane",1
"Kazuto Arai",1
"Kazuya Murata",1
"Kazuya Nomura|Keisuke Shinohara",1
"Kazuyoshi Katayama",1
"Keanu Reeves",1
"Keegan Kuhn|Kip Andersen",1
"Keenen Ivory Wayans",4
"Kei Horie",1
"Kei Suezawa",1
"Keiichi Hara",1
"Keiichi Sato",2
"Keiichi Sato|Yasushi Kawamura",1
"Keiichi Sugiyama",1
"Keiichirou Kawaguchi",1
"Keir Burrows",1
"Keishi Otomo",6
"Keitaro Motonaga",2
"Keith Behrman",1
"Keith Emerson",1
"Keith Parmer",1
"Keith Scholey",1
"Keizo Kusakawa",1
"Kellen Moore",1
"Kellie Madison",1
"Kelly Asbury",3
"Kelly Asbury|Lorna Cook",1
"Kelly Fremon Craig",1
"Kelly Reichardt",1
"Kelsey Mann",1
"Kelvin Tong",1
"Ken'ichi Ishikura",1
"Ken'ichi Takeshita",1
"Ken'ichi Takeshita|Yuji Yamaguchi",1
"Ken Annakin",2
"Ken Burns",1
"Ken Cunningham",2
"Ken Finkleman",1
"Ken Hughes",1
"Ken Kwapis",4
"Ken Loach",1
"Ken Locsmandi",1
"Ken Marino",2
"Ken Mok",1
"Ken Russell",1
"Ken Sanzel",2
"Ken Scott",2
"Ken Wiederhorn",1
"Kenichi Kawamura|Masaharu Watanabe",1
"Kenichi Shimizu",1
"Kenji Kamiyama",4
"Kenji Kodama",7
"Kenji Nagasaki",3
"Kenneth Branagh",8
"Kenneth Glenaan",1
"Kenneth Johnson",1
"Kenneth Lonergan",1
"Kenny Leon|Alex Rudzinski",1
"Kenny Ortega",10
"Kenny Rye",1
"Kensho Yamashita",1
"Kent Nason|Teresa MacInnes",1
"Kenta Fukasaku",1
"Kenta Fukasaku|Kinji Fukasaku",1
"Kentaro Hagiwara",1
"Kentaro Otani",1
"Keola Racela",1
"Keoni Waxman",7
"Kerem Sanga",1
"Kerry Conran",1
"Kery James|Leila Sy",1
"Kevan Otto",1
"Kevin Allen",1
"Kevin Bray",1
"Kevin Burns|Edith Becker",1
"Kevin Caliber|Llenelle Gibson|Tess Speranza",1
"Kevin Connolly",1
"Kevin Costner",3
"Kevin Derek",1
"Kevin Deters|Stevie Wermers",2
"Kevin Donovan",1
"Kevin Downes",1
"Kevin Dunn",2
"Kevin Fair",1
"Kevin Farley",1
"Kevin Feige|Kari Skogland|Malcolm Spellman|Zoie Nagelhout|Mary Livanos|Jac Schaeffer|Matt Shakman|Kate Herron|Stephen Broussard|Kevin R. Wright|Michael Waldron|A.C. Bradley|Bryan Andrews|Brad Winderbaum|Trinh Tran|Jeremy Renner|Tom Hiddleston|Anthony Mackie|Sebastian Stan|Elizabeth Olsen|Paul Bettany|Kat Dennings|Kathryn Hahn|Randall Park|Teyonah Parris|Wyatt Russell|Emily VanCamp|Hayley Atwell|Jeffrey Wright",1
"Kevin Goetz|Michael Goetz",2
"Kevin Greutert",4
"Kevin Heffernan",1
"Kevin Hooks",1
"Kevin Johnson",1
"Kevin King",2
"Kevin K�lsch|Dennis Widmyer",2
"Kevin Lewis",1
"Kevin Lima",2
"Kevin Lima|Chris Buck",1
"Kevin Macdonald",6
"Kevin Munroe",1
"Kevin Munroe|Jericca Cleland",1
"Kevin Nolting",1
"Kevin Pollak",1
"Kevin Reynolds",7
"Kevin Rodney Sullivan",2
"Kevin Sim|Tom Jennings",1
"Kevin Smith",9
"Kevin Sorbo",1
"Kevin Sullivan",1
"Kevin Tancharoen",2
"Kevin Tent",1
"Kiah Roache-Turner",1
"Kial Natale",1
"K�ichi Imaizumi",1
"Kieran Darcy-Smith",1
"Kike Ma�llo",1
"Kim Byung-woo",1
"Kim Chapiron",1
"Kim Chun-soo",1
"Kim Dae-seong-I",1
"Kim Dae-seung",1
"Kim Dae-woo",1
"Kim Dong-gyu",1
"Kim Druzhinin|Andrey Shalopa",1
"Kim Gatewood",1
"Kim Han-gyeol",1
"Kim Han-min",2
"Kim Henkel",1
"Kim Hyeon-Bin",1
"Kim Je-young",1
"Kim Jee-woon",6
"Kim Ji-hoon",2
"Kim Jin-sung",1
"Kim Jin-woo-II",1
"Kim Joo-hwan",1
"Kim Joon-Sung",1
"Kim Jung-hwan",1
"Kim Ki-duk",5
"Kim Kwang-sik",1
"Kim Min-tae",1
"Kim Moo-won",1
"Kim Nam-joon|Jeon Jung-kook|Kim Tae-hyung|Park Ji-min|Jung Ho-seok|Kim Seok-jin|Min Yoon-gi",1
"Kim Nguyen",1
"Kim Seong-hun",3
"Kim Sung-hoon",2
"Kim Sung-soo",1
"Kim Tae-hyoung",1
"Kim Yong-hoon",1
"Kim Yong-hwa",2
"Kimberly Peirce",2
"Kimble Rendall",2
"King Vidor",1
"Kinji Fukasaku",1
"Kinka Usher",1
"Kirk Caouette",1
"Kirk DeMicco",2
"Kirk Jones",3
"Kirk R. Thatcher",2
"Kirk Wise",1
"Kirsten Sheridan",1
"Kitao Sakurai",1
"K�ji Shiraishi",3
"Klay Hall",2
"Kleber Mendon�a Filho|Juliano Dornelles",1
"Klim Shipenko",2
"Ko Kyeong-Ah",1
"Koan Hui On",1
"Kobun Shizuno",5
"Kobun Shizuno|<U+C57C><U+B9C8><U+BAA8><U+D1A0> <U+C57C><U+C2A4><U+C774><U+CE58><U+B85C>",1
"Kobun Shizuno|Hiroyuki Seshita",3
"Kogonada",1
"Koichi Sakamoto|Charlie Haskell",1
"Koichiro Miki",1
"Koji Morimoto|Katsuhiro Otomo|Tensai Okamura",1
"Koji Morimoto|Peter Chung|Andrew R. Jones|Yoshiaki Kawajiri|Takeshi Koike|Mahiro Maeda|Shinichiro Watanabe",1
"Koji Shintoku",1
"Koko Stambuk",1
"Kong Ja-kwan",2
"Konosuke Uda",3
"Konstantin Buslov",1
"Korn�l Mundrucz�",1
"Kota Yoshida",1
"Kotaro Tamura",1
"Kouzou Morishita",2
"Kozo Kusuba",2
"Kresten Vestbjerg Andersen|Thorbj�rn Christoffersen|Philip Einstein Lipski",1
"Kris Pearn",1
"Krisstian de Lara",1
"Kristen Bell|Ashlyn Faith Williams|Josh Gad|Jonathan Groff|Idina Menzel|Frank Welker",1
"Kristian Levring",1
"Kristian Petri|Kristina Lindstr�m",1
"Kristin Hanggi",1
"Kristine Stolakis",1
"Kristoffer Nyholm",1
"Kriv Stenders",3
"Krzysztof Kieslowski",4
"Kuang-Hui Liu",1
"Kung-Lok Lee",1
"Kunihiko Yuyama",19
"Kunihiko Yuyama|Jim Malone",1
"Kuninori Yamazaki",1
"Kunio Katou",1
"Kunle Afolayan",2
"Kurt Mattila",2
"Kurt Neumann",1
"Kurt Wimmer",2
"Kurtis David Harder",1
"Kwak Jae-yong",2
"Kye Jang-hyuk",1
"Kyle Balda|Chris Renaud",1
"Kyle Balda|Pierre Coffin",2
"Kyle Balda|Samuel Tourneux",2
"Kyle Newacheck",2
"Kyle Newman",1
"Kyle Patrick Alvarez",1
"Kyle Rankin",1
"Kyle Rideout",1
"Kyohei Ishiguro",2
"Kyran Kelly",1
"L�a Mysius",1
"L�a Pool",1
"Laddawan Ratanadilokchai",1
"Ladj Ly",1
"Lalo Valdivia",1
"Lana Wachowski",1
"Lana Wilson",1
"Lance Daly",1
"Lance Hool",1
"Lance Kawas",1
"Lance Mungia",1
"Lance W. Dreesen",1
"Lane Shefter Bishop",1
"Lara Shapiro",1
"Larry Charles",4
"Larry Clark",2
"Larry Latham",1
"Larry Leichliter|Pendleton Ward|Hugo Morales",1
"Larry Roemer",1
"Larry Shaw",1
"Lars Damoiseaux",1
"Lars Klevberg",2
